pep_length	start_pos	hla	weight	w
8	3	HLA-A01:01	4.982e+00	6.555e-02
8	3	HLA-A02:01	7.628e+00	8.382e-02
8	3	HLA-A02:03	1.645e+00	3.289e-01
8	3	HLA-A02:04	8.008e-02	1.335e-02
8	3	HLA-A02:05	1.341e-02	2.682e-03
8	3	HLA-A02:07	3.412e-01	2.843e-02
8	3	HLA-A03:01	1.277e+00	7.096e-02
8	3	HLA-A11:01	2.733e-01	9.109e-02
8	3	HLA-A23:01	1.615e-01	1.615e-01
8	3	HLA-A24:02	3.503e+00	1.061e-01
8	3	HLA-A24:06	6.299e-02	3.150e-02
8	3	HLA-A24:13	2.945e-02	9.818e-03
8	3	HLA-A26:01	1.894e-01	1.894e-01
8	3	HLA-A29:02	9.341e+00	1.832e-01
8	3	HLA-A31:01	4.958e-01	7.083e-02
8	3	HLA-A32:01	8.092e-02	4.046e-02
8	3	HLA-A66:02	2.024e-03	2.024e-03
8	3	HLA-A68:02	2.230e+00	2.478e-01
8	3	HLA-B07:02	2.568e+01	1.459e-01
8	3	HLA-B08:01	2.052e+01	9.587e-02
8	3	HLA-B13:01	6.784e-01	3.392e-01
8	3	HLA-B13:02	1.911e-01	9.555e-02
8	3	HLA-B14:02	1.283e+00	2.566e-01
8	3	HLA-B15:01	8.517e+00	1.014e-01
8	3	HLA-B15:02	3.676e+00	1.021e-01
8	3	HLA-B15:08	3.820e-02	3.820e-02
8	3	HLA-B15:11	1.132e-01	1.132e-01
8	3	HLA-B18:01	1.682e+01	1.557e-01
8	3	HLA-B18:03	3.833e+00	1.474e-01
8	3	HLA-B27:01	2.272e-01	2.065e-02
8	3	HLA-B27:02	4.492e-01	1.497e-01
8	3	HLA-B27:04	8.598e-02	4.299e-02
8	3	HLA-B27:05	4.791e-01	3.422e-02
8	3	HLA-B27:06	6.185e-03	6.185e-03
8	3	HLA-B27:07	7.923e-02	2.641e-02
8	3	HLA-B27:08	1.635e-02	1.635e-02
8	3	HLA-B27:09	1.348e-01	1.037e-02
8	3	HLA-B35:01	1.830e+00	1.017e-01
8	3	HLA-B35:02	4.370e-02	4.370e-02
8	3	HLA-B35:03	5.326e-01	1.775e-01
8	3	HLA-B35:06	1.288e-01	1.288e-01
8	3	HLA-B35:08	2.263e-02	7.544e-03
8	3	HLA-B37:01	7.006e-01	1.168e-01
8	3	HLA-B39:01	3.842e+00	2.022e-01
8	3	HLA-B39:06	2.928e+00	1.722e-01
8	3	HLA-B39:09	5.263e-01	2.632e-01
8	3	HLA-B39:24	3.765e+00	1.982e-01
8	3	HLA-B40:01	3.413e+00	1.625e-01
8	3	HLA-B40:02	4.242e+01	1.739e-01
8	3	HLA-B41:04	1.744e-01	4.359e-02
8	3	HLA-B41:05	9.051e-01	4.525e-01
8	3	HLA-B41:06	1.200e-01	1.200e-01
8	3	HLA-B42:01	1.149e-01	1.149e-01
8	3	HLA-B44:02	2.638e+00	1.147e-01
8	3	HLA-B44:03	3.889e+00	1.389e-01
8	3	HLA-B44:08	1.394e-01	1.394e-01
8	3	HLA-B44:09	7.770e-01	1.295e-01
8	3	HLA-B45:01	5.779e-01	2.890e-01
8	3	HLA-B46:01	3.112e+00	1.945e-01
8	3	HLA-B47:01	6.056e-01	1.514e-01
8	3	HLA-B49:01	5.532e-01	1.383e-01
8	3	HLA-B50:01	6.559e-01	1.093e-01
8	3	HLA-B51:01	3.433e+01	1.449e-01
8	3	HLA-B51:08	3.170e+00	2.114e-01
8	3	HLA-B52:01	1.122e-01	1.122e-01
8	3	HLA-B54:01	1.529e+00	1.176e-01
8	3	HLA-B56:01	6.625e-01	1.104e-01
8	3	HLA-B57:01	1.080e+01	1.000e-01
8	3	HLA-B57:03	3.601e+00	8.574e-02
8	3	HLA-B58:01	4.899e+00	1.113e-01
8	3	HLA-B73:01	1.208e-02	1.208e-02
8	3	HLA-C01:02	1.998e+00	6.445e-02
8	3	HLA-C02:02	3.106e+00	1.412e-01
8	3	HLA-C03:03	4.757e+00	1.903e-01
8	3	HLA-C03:04	1.369e+01	2.583e-01
8	3	HLA-C04:01	6.689e+00	6.494e-02
8	3	HLA-C05:01	1.246e+01	7.987e-02
8	3	HLA-C06:02	2.873e+00	1.064e-01
8	3	HLA-C07:01	2.514e+00	2.514e-01
8	3	HLA-C07:02	3.299e+00	1.319e-01
8	3	HLA-C08:02	6.361e+00	3.903e-02
8	3	HLA-C12:02	2.362e-04	2.362e-04
8	3	HLA-C12:03	4.406e+00	1.377e-01
8	3	HLA-C14:02	2.237e+01	2.171e-01
8	3	HLA-C15:02	1.212e+01	3.564e-01
8	3	HLA-C16:01	2.763e+01	1.974e-01
8	3	HLA-C17:01	4.376e+00	1.750e-01
8	4	HLA-A01:01	7.699e+00	1.013e-01
8	4	HLA-A02:01	1.736e+01	1.907e-01
8	4	HLA-A02:03	9.479e-01	1.896e-01
8	4	HLA-A02:04	2.619e+00	4.365e-01
8	4	HLA-A02:05	5.474e-01	1.095e-01
8	4	HLA-A02:07	1.211e+00	1.009e-01
8	4	HLA-A03:01	4.304e+00	2.391e-01
8	4	HLA-A11:01	7.625e-01	2.542e-01
8	4	HLA-A23:01	1.443e-01	1.443e-01
8	4	HLA-A24:02	6.640e+00	2.012e-01
8	4	HLA-A24:06	3.576e-02	1.788e-02
8	4	HLA-A24:13	1.595e-03	5.317e-04
8	4	HLA-A26:01	3.924e-01	3.924e-01
8	4	HLA-A29:02	4.769e+00	9.351e-02
8	4	HLA-A31:01	1.729e+00	2.470e-01
8	4	HLA-A32:01	6.943e-01	3.472e-01
8	4	HLA-A66:02	1.079e-02	1.079e-02
8	4	HLA-A68:02	2.526e+00	2.807e-01
8	4	HLA-B07:02	2.540e+01	1.443e-01
8	4	HLA-B08:01	2.474e+01	1.156e-01
8	4	HLA-B13:01	8.234e-02	4.117e-02
8	4	HLA-B13:02	4.309e-01	2.154e-01
8	4	HLA-B14:02	9.854e-01	1.971e-01
8	4	HLA-B15:01	1.683e+01	2.003e-01
8	4	HLA-B15:02	6.984e+00	1.940e-01
8	4	HLA-B15:08	1.281e-01	1.281e-01
8	4	HLA-B15:11	2.388e-01	2.388e-01
8	4	HLA-B18:01	1.689e+01	1.564e-01
8	4	HLA-B18:03	3.175e+00	1.221e-01
8	4	HLA-B27:01	1.421e+00	1.292e-01
8	4	HLA-B27:02	9.658e-01	3.219e-01
8	4	HLA-B27:04	5.447e-01	2.724e-01
8	4	HLA-B27:05	2.365e+00	1.689e-01
8	4	HLA-B27:06	1.381e-01	1.381e-01
8	4	HLA-B27:07	1.750e-01	5.834e-02
8	4	HLA-B27:08	1.716e-01	1.716e-01
